image,sigma_s,sigma_r,alpha_r,psnr,ssim,gastal_admm_it,farbman_admm_it,success,tol
kodim01.png,1.0,37.285714285714285,0.6,44.42790236249809,0.9963705026245782,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.65,44.58686747793713,0.9964751483122735,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.7,44.78425980293194,0.9966072290677847,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.75,45.0064993071272,0.9967628461883603,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.8,45.23125106454712,0.9969329916689831,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.8500000000000001,45.44063169593876,0.99710674253092,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.9,45.63852364160294,0.9972765401682475,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.95,45.856552595620165,0.9974423225939296,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,1.0,46.138373954709095,0.9976102502150401,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.5,44.14005407144229,0.9961717056288679,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.55,44.18157522112832,0.9961995020087792,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.6,44.2437909624111,0.9962400318341121,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.65,44.3343465212227,0.9962978461840288,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.7,44.46047963078587,0.9963776566754403,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.75,44.625466426187316,0.9964828874694373,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.8,44.82407107550184,0.9966136463246992,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.8500000000000001,45.040691459344735,0.9967652613206779,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.9,45.25517481060285,0.9969290199730817,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,0.95,45.45646845517293,0.9970955608489068,10,10,1,0.001
kodim01.png,1.0,55.42857142857143,1.0,45.655454336937034,0.9972594772955968,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.5,44.10786579896402,0.9961477306614229,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.55,44.13225897150062,0.9961640258936987,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.6,44.169584521375654,0.9961882182928096,10,10,1,0.001
